agents,grid_width,grid_height,time_ms,path_length,distribution
1,10,10,0.088743,6,random
1,10,10,0.007805,1,random
1,10,10,0.007622,1,random
1,10,10,0.068138,10,random
1,10,10,0.088473,11,random
1,10,10,0.07667,11,random
1,10,10,0.084217,10,random
1,10,10,0.07698,10,random
1,10,10,0.07669,8,random
1,10,10,0.039269,5,random
1,10,10,0.02184,3,random
1,10,10,0.083029,9,random
1,10,10,0.025378,3,random
1,10,10,0.040995,6,random
1,10,10,0.041591,3,random
1,10,10,0.098936,11,random
1,10,10,0.023531,3,random
1,10,10,0.082357,9,random
1,10,10,0.0077,1,random
1,10,10,0.007291,1,random
1,10,10,0.007809,1,random
1,10,10,0.00739,1,random
1,10,10,0.007454,1,random
1,10,10,0.00749,1,random
1,10,10,0.007544,1,random
1,10,10,0.006955,1,random
1,10,10,0.007373,1,random
1,10,10,0.007609,1,random
1,10,10,0.007685,1,random
1,10,10,0.007162,1,random
1,10,10,0.007638,1,random
1,10,10,0.006811,1,random
1,10,10,0.007578,1,random
1,10,10,0.007833,1,random
1,10,10,0.007453,1,random
1,10,10,0.006965,1,random
1,10,10,0.007399,1,random
1,10,10,0.006818,1,random
1,10,10,0.007238,1,random
1,10,10,0.00755,1,random
1,10,10,0.007879,1,random
1,10,10,0.00766,1,random
1,10,10,0.007675,1,random
1,10,10,0.007028,1,random
1,10,10,0.00719,1,random
1,10,10,0.006958,1,random
1,10,10,0.007467,1,random
1,10,10,0.006953,1,random
1,10,10,0.007421,1,random
1,10,10,0.007982,1,random
1,10,10,0.007534,1,random
1,10,10,0.007038,1,random
1,10,10,0.007098,1,random
1,10,10,0.007604,1,random
1,10,10,0.007056,1,random
1,10,10,0.00772,1,random
1,10,10,0.007584,1,random
1,10,10,0.007576,1,random
1,10,10,0.007652,1,random
1,10,10,0.007729,1,random
1,10,10,0.006807,1,random
1,10,10,0.007446,1,random
1,10,10,0.00755,1,random
1,10,10,0.007051,1,random
1,10,10,0.007501,1,random
1,10,10,0.007579,1,random
1,10,10,0.006894,1,random
1,10,10,0.007444,1,random
1,10,10,0.006844,1,random
1,10,10,0.007429,1,random
1,10,10,0.007553,1,random
1,10,10,0.007243,1,random
1,10,10,0.007044,1,random
1,10,10,0.007696,1,random
1,10,10,0.006935,1,random
1,10,10,0.007351,1,random
1,10,10,0.007291,1,random
1,10,10,0.006955,1,random
1,10,10,0.158102,15,random
1,10,10,0.043717,6,random
1,10,10,0.040463,6,random
1,10,10,0.053778,7,random
1,10,10,0.064482,8,random
1,10,10,0.068694,8,random
1,10,10,0.182068,12,random
1,10,10,0.153555,13,random
1,10,10,0.048435,6,random
1,10,10,0.046691,6,random
1,10,10,0.120819,9,random
1,10,10,0.063237,6,random
1,10,10,0.050508,5,random
1,10,10,0.132658,13,random
1,10,10,0.1414,11,random
1,10,10,0.133595,11,random
1,10,10,0.111016,8,random
1,10,10,0.057842,5,random
1,10,10,0.082831,7,random
1,10,10,0.080818,7,random
1,10,10,0.013342,1,random
1,10,10,0.011772,1,random
1,10,10,0.011731,1,random
1,10,10,0.01273,1,random
1,10,10,0.012355,1,random
1,10,10,0.012188,1,random
1,10,10,0.01191,1,random
1,10,10,0.012574,1,random
1,10,10,0.01192,1,random
1,10,10,0.011444,1,random
1,10,10,0.012282,1,random
1,10,10,0.012453,1,random
1,10,10,0.012736,1,random
1,10,10,0.011694,1,random
1,10,10,0.012165,1,random
1,10,10,0.01162,1,random
1,10,10,0.012485,1,random
1,10,10,0.012424,1,random
1,10,10,0.012318,1,random
1,10,10,0.011786,1,random
1,10,10,0.011996,1,random
1,10,10,0.012545,1,random
1,10,10,0.012142,1,random
1,10,10,0.012208,1,random
1,20,20,0.587194,30,random
1,20,20,0.144271,9,random
1,20,20,0.068503,4,random
1,20,20,0.076248,4,random
1,20,20,0.229157,13,random
1,20,20,0.346386,21,random
1,20,20,0.039105,1,random
1,20,20,0.038428,1,random
1,20,20,0.036097,1,random
1,20,20,0.035049,1,random
1,20,20,0.037751,1,random
1,20,20,0.036502,1,random
1,20,20,0.038223,1,random
1,20,20,0.038292,1,random
1,20,20,0.039479,1,random
1,20,20,0.038048,1,random
1,20,20,0.037882,1,random
1,20,20,0.038316,1,random
1,20,20,0.058444,1,random
1,20,20,0.037348,1,random
1,20,20,0.037631,1,random
1,20,20,0.038518,1,random
1,20,20,0.037418,1,random
1,20,20,0.038463,1,random
1,20,20,0.037559,1,random
1,20,20,0.173504,11,random
1,20,20,0.250884,16,random
1,20,20,0.666584,26,random
1,20,20,0.269132,17,random
1,20,20,0.059036,3,random
1,20,20,0.435178,17,random
1,20,20,0.165778,10,random
1,20,20,0.136807,11,random
1,20,20,0.27436,17,random
1,20,20,0.139722,9,random
1,20,20,0.040063,1,random
1,20,20,0.038396,1,random
1,20,20,0.037205,1,random
1,20,20,0.037601,1,random
1,20,20,0.037167,1,random
1,20,20,0.039723,1,random
1,20,20,0.037211,1,random
1,20,20,0.039194,1,random
1,20,20,0.037689,1,random
1,20,20,0.037508,1,random
1,20,20,0.037451,1,random
1,20,20,0.039483,1,random
1,20,20,0.038791,1,random
1,20,20,0.170297,10,random
1,20,20,0.61452,20,random
1,20,20,0.200495,13,random
1,20,20,0.735086,16,random
1,20,20,0.278457,14,random
1,20,20,0.238029,10,random
1,20,20,0.323782,19,random
1,20,20,0.379753,18,random
1,20,20,0.574326,21,random
1,20,20,0.136035,9,random
1,20,20,1.23737,31,random
1,20,20,0.38073,16,random
1,20,20,0.091096,6,random
1,20,20,0.400216,20,random
1,20,20,0.097116,6,random
1,20,20,0.131756,7,random
1,20,20,0.167442,11,random
1,20,20,0.120772,8,random
1,20,20,0.162857,10,random
1,20,20,0.528304,26,random
1,20,20,0.03915,1,random
1,20,20,0.039685,1,random
1,20,20,0.039567,1,random
1,20,20,0.039329,1,random
1,40,40,1.64307,61,random
1,40,40,0.659808,26,random
1,40,40,1.3403,44,random
1,40,40,0.369475,23,random
1,40,40,0.228056,15,random
1,40,40,0.808851,38,random
1,40,40,0.681614,22,random
1,40,40,1.52539,32,random
1,40,40,0.499072,17,random
1,40,40,0.940925,34,random
1,40,40,0.565332,24,random
1,40,40,2.77737,35,random
1,40,40,1.53415,47,random
1,40,40,0.556632,25,random
1,40,40,0.368088,15,random
1,40,40,0.433339,21,random
1,40,40,0.981123,33,random
1,40,40,0.50364,19,random
1,40,40,0.532951,27,random
1,40,40,0.331545,13,random
1,40,40,1.18675,25,random
1,40,40,1.8252,57,random
1,40,40,0.313851,11,random
1,40,40,0.271306,11,random
1,40,40,0.747349,31,random
1,40,40,0.697577,28,random
1,40,40,0.557775,20,random
1,40,40,0.555547,28,random
1,40,40,1.27233,33,random
1,40,40,1.10655,31,random
1,40,40,0.469718,28,random
